input_file,time,rmse,mae,bucket_length,num_hash_tables,threshold,timestamp
data/20M.csv,300.56309700012207,1.1763503531231128,0.9509117826021092,2.0,1,1.2,20250519_150459
data/10M.csv,340.33265233039856,1.1799289238514394,0.942237146752798,2.0,1,1.2,20250519_145737
data/20M.csv,389.2385451793671,1.1756522431823275,0.9440126763510648,2.0,1,1.2,20250519_143946
data/10M.csv,280.15699076652527,1.1777328066503985,0.9438151505219315,2.0,1,1.2,20250519_143032
data/10M.csv,422.18334484100336,1.1788942273931688,0.9449720845785604,2.0,1,1.2,20250519_141753
data/20M.csv,415.4450790882111,1.1760113971634314,0.9506851805785748,2.0,1,1.2,20250519_135657
data/10M.csv,246.9791543483734,1.1783258607629714,0.9441687310810462,2.0,1,1.2,20250519_134657
data/10M.csv,241.6518714427948,1.1799434847514176,0.9462133859817564,2.0,1,1.2,20250519_133435
data/10M.csv,226.54174852371216,1.1773604998435772,0.943849701575788,2.0,1,1.2,20250519_131529
data/20M.csv,284.84267568588257,1.1762491980473189,0.9507985552569264,2.0,1,1.2,20250519_130627
data/10M.csv,281.65963768959045,1.1778382127142288,0.9305156176490886,2.0,1,1.2,20250519_125924
data/10M.csv,290.3716769218445,1.1793321825540324,0.943380959554752,0.8,3,1.2,20250519_123928
data/10M.csv,309.7875478267669,1.1811798708520564,0.9456547385017656,0.8,3,1.2,20250519_122613
data/1M.csv,276.53936743736267,1.1334006980499205,0.8782508985072759,0.8,3,1.2,20250519_113313
data/10M.csv,276.8466703891754,1.1790099539168784,0.944827743361306,0.8,3,1.2,20250519_112621
data/100k.csv,227.24922347068787,1.0170593809042423,0.7659047468102989,0.8,3,1.2,20250519_111938
data/1M.csv,279.8235805034637,1.1404066017129162,0.8838206159188774,0.8,3,1.2,20250519_110753
data/100k.csv,246.66760921478271,1.073593017471847,0.7451332321895903,0.8,3,1.2,20250519_105707
data/25M.csv,303.12981772422785,1.1872771276517284,0.9661605622316568,2.0,1,1.2,20250519_020100
data/1M.csv,241.27896785736084,1.132239685966098,0.8745768842049683,2.0,1,1.2,20250519_015123
data/10M.csv,187.68888926506042,1.177313252090973,0.9432454781924968,2.0,1,1.2,20250519_014524
data/100k.csv,228.70986890792847,0.9761569831811844,0.7393144907710776,2.0,1,1.2,20250519_014045
data/20M.csv,243.84033298492432,1.1757312316506097,0.9503611151271144,2.0,1,1.2,20250519_012758
data/1M.csv,238.2053363323212,1.133527850169768,0.8733237451271177,2.0,1,1.2,20250519_012202
data/10M.csv,194.57525897026062,1.1797910310201265,0.9455661807766166,2.0,1,1.2,20250519_011608
data/100k.csv,229.97542762756348,0.9774297094329244,0.7464186604316783,2.0,1,1.2,20250519_011122
data/100k.csv,229.91708898544312,0.973231340838846,0.7414325677508015,2.0,1,1.2,20250519_005814
data/10M.csv,4699.031035900116,0.9661446587761818,0.7357388331595539,2.0,1,1.2,20250518_124429
data/1M.csv,123.6431531906128,0.9918724707628032,0.7695242862593218,2.0,1,1.2,20250518_104946
data/100k.csv,46.94705104827881,0.9220699893129648,0.7008148364386261,2.0,1,1.2,20250518_104642
data/10M.csv,1450.759264945984,0.965272764611208,0.7345596033971397,2.0,1,1.2,20250518_104104
data/1M.csv,118.16020083427428,0.9907269428501376,0.7688541466576283,2.0,1,1.2,20250518_100542
data/100k.csv,55.74711894989014,0.9073180301640252,0.6926843001436237,2.0,1,1.2,20250518_100250
data/1M.csv,244.2337281703949,0.993689086005036,0.7713822099446563,2.0,1,1.2,20250518_095921
data/100k.csv,56.04288196563721,0.9083378674057944,0.6944571736498342,2.0,1,1.2,20250518_095323
